id,constant,position,translate,
226,headerText404.textSupport,Служба технической поддержки,Служба технической поддержки,技术支持服务
8. Формы,,,,#VALUE!
8.1. Заголовки форм,,,,#VALUE!
228,formsText.titleEnter,Вход в личный кабинет,Вход в личный кабинет,登录
229,formsText.titleCallback,Оставить заявку,Оставить заявку,提交您的申请
230,formsText.titleTwoauth,Двухэтапная авторизация,Двухфакторная авторизация,双因素授权
231,buttonText.signup,Регистрация,Регистрация,报到
232,fotmsText.titleReminder,Восстановление пароля,Восстановление пароля,找回密码
8.2. Поля ввода,,,,#VALUE!
233,formsText.labelName,Введите ваше имя,Имя *,名称 *
234,formsText.placeholderName,Введите ваше имя (placeholder),Ваше имя,你的名字
235,formsText.labelLastName,Введите вашу фамилию,Фамилия *,姓 *
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Ваша фамилия,你的姓氏
237,formsText.labelMail,E-mail,E-mail *,电子邮件 *
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Ваш E-mail,你的邮件
239,formsText.labelPassword,Введите пароль,Пароль *,密码 *
240,formsText.placeholderPassword,Введите пароль (placeholder),Введите пароль,输入密码
241,formsText.labelConfirmPassword,Подтвердите пароль,Подтвердите пароль *,确认密码*
242,formsText.labelPhone,Поле для ввода номера телефона,Телефон *,电话*
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Ваш телефон,你的电话号码
244,formsText.labelCountry,Выберите страну,Страна ,国家
245,formsText.placeholderCountry,Выберите страну (placeholder),Выберите страну,选择一个国家
246,formsText.labelLanguage,Выберите язык,Язык,语
247,formsText.placeholderLanguage,Выберите язык (placeholder),Выберите язык,选择语言
248,formsText.labelTime,Удобное время для звонка,Удобное время,合适的时间
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Время для звонка,呼叫时间
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Код авторизации *,授权代码*
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Код двухэтапной авторизации,双步授权代码
252,formsText.labelPromo,Введите промокод,Промокод,促销代码
253,formsText.placeholderPromo,Введите промокод (placeholder),Введите промокод,输入促销
8.3. Дополнительный текст,,,,#VALUE!
254,formsText.text_required,* - обязательные поля,* - обязательное поле,* - 必填项目
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Для пароля разрешены только латинские буквы, цифры и символы. Пароль должен содержать как минимум одну заглавную букву, одну строчную букву и одну цифру.",只允许拉丁字母，数字和字符的密码。密码必须至少包含一个大写字母，一个小写字母和一个数字。
256,formsText.checkboxText,Обработка персональных данных (чекбокс),Я согласен на обработку персональных данных,我同意处理个人数据
8.4. Уведомления,,,,#VALUE!
257,formsText.titleSuccess,Спасибо за отправку сообщения (заголовок),Спасибо за отправку сообщения,谢谢你发送消息。
258,formsText.textSuccess,Спасибо за отправку сообщения текст (подзаголовок),Мы свяжемся с вами в ближайшее время.,我们将尽快与您联系。
259,formsText.titleError,Ошибка отправки сообщения (заголовок),Ошибка отправки сообщения,发送消息错误
260,formsText.textError,Ошибка отправки сообщения текст (подзаголовок),Попробуйте позднее,等会再试
309,formsText.titleAttention,Ошибка (заголовок),Внимание!,
8.5. Ссылки в форме,,,,#VALUE!
261,formsText.forgotText,Забыли пароль?,Забыли пароль?,忘记密码了吗？
262,formsText.allreadyText,Уже есть учетная запись,Уже есть учетная запись,已经有一个帐户
9. Навигация,,,,#VALUE!
263,navText.index,Главная,Главная,主要的
264,navText.markets,Рынки,Рынки,市场
265,navText.about,О компании,О компании,关于公司
266,navText.contacts,Контакты,Контакты,联系人
267,navText.forex,Валюты,Валюты,货币
268,navText.metals,Металлы,Металлы,金属
269,navText.stocks,Акции,Акции,分享
270,navText.commodities,Товары,Товары,产品
271,navText.indices,Индексы,Индексы,索引
272,navText.crypto,Криптовалюты,Криптовалюты,加密货币
273,navText.trading,Торговые условия,Торговые условия,贸易条件
274,navText.licenses,Аккредитация и лицензии,Аккредитации и лицензии,认证和许可证
275,formsText.checkboxAgreement,Пользовательское соглашение,Пользовательское соглашение,使用条款
276,formsText.checkboxPolicy,Политика возврата средств,Политика возврата средств,退款政策
293,curLang,Текущий язык,Ru,茹
10. Кнопки,,,,#VALUE!
277,buttonText.login,Войти,Войти,进来
278,buttonText.btnReg,Зарегистрироваться,Зарегистрироваться,登记
279,buttonText.enterFormButton,Войти в кабинет,Войти,进来
280,buttonText.btnSend,Отправить,Отправить,发送
281,buttonText.btnStartTrade,Начать торговать,Начать торговать,开始交易
282,buttonText.btnOpenAcc,Открыть счет,Открыть счет,开帐户
283,buttonText.btnCallback,Запросить звонок,Запросить звонок,请求呼叫
284,buttonText.btnLearMore,Узнать больше,Узнать больше,了解更多
285,buttonText.btn404,Вернуться на главную,Вернуться на главную,回到主页
286,buttonText.btnSupport,Техническая поддержка,Техническая поддержка,技术支援
287,buttonText.btnPartner,Стать партнером,Стать партнером,成为合伙人
11. Контакты,,,,#VALUE!
288,contactsHeaderText.title,Заголовок,"Круглосуточная, персональная поддержка пользователей",24小时，对用户的个人支持
289,contactsHeaderText.text,Подзаголовок,Запросите звонок и мы свяжемся с вами в ближайшее время.,请求通话，我们将在不久的将来与您联系。
290,contactsListText.contact2,Наша почта,Наша почта,我们的邮件
291,contactsListText.contact3,Месторасположение,Месторасположение,地点
292,contactsListText.contact1,Международный номер,Международный номер,国际房间
12. Тайтлы,,,,#VALUE!
293,titles.index,index,Company Name - Получите финансовую независимость,投资 -  IP线 - 获得金融独立
294,titles.notFound,404,404 - Company Name - Получите финансовую независимость,404  - 投资 -  IP线 - 获得金融独立性
295,titles.licenses,licenses,Аккредитации и лицензии - Company Name - Получите финансовую независимость,认证和许可证 - 投资 -  IP线 - 获得金融独立性
296,titles.reminder,reminder,Восстановление пароля - Company Name - Получите финансовую независимость,密码恢复 - 投资IP线 - 获得金融独立性
297,titles.register,register,Регистрация - Company Name - Получите финансовую независимость,注册 - 投资 -  IP线 - 获得金融独立性
298,titles.login,login,Вход - Company Name - Получите финансовую независимость,登录 - 投资 -  IP线 - 获得金融独立性
299,titles.about,about,О компании - Company Name – зарабатывай просто!,关于公司 -  Invest-IP-Line  - 只需赚取！
300,titles.contacts,contacts,"Контакты - Company Name - Круглосуточная, персональная поддержка пользователей",联系人 -  Invest-IP线 - 圆形时钟，用户个人支持
301,titles.markets,markets,Свыше 200 финансовых инструментов для трейдинга из любой точки мира,来自世界上任何地方的200多个金融工具
302,titles.commodities,commodities,Товары - Торговля сырьевыми товарами с Company Name,商品 - 商品产品具有投资 -  IP线
303,titles.crypto,crypto,Криптовалюты - Торгуйте CFD на криптовалюту вместе Company Name,Cryptocurrency  -  Cureptocurrency的CFD在一起投资 -  IP线
304,titles.forex,forex,Валюты – самый устойчивый и перспективный рынок для инвестиций,货币 - 最可持续和最有前途的投资市场
305,titles.indices,indices,Индексы - Станьте профи в торговле CFD на индексы,索引 - 成为竞选人士交易的专业索引
306,titles.metals,metals,Металлы - Выгодная торговля CFD-контрактами на металлы,金属 - 粮食委员会合同的合理贸易
307,titles.stocks,stocks,Акции - Котировки акций онлайн с Company Name,促销 - 使用Invest-IP线在线促销
308,titles.trading,trading,Торговые условия - Торговые счета Company Name,贸易条件 - 交易账户投资 -  IP线
